time_sec,roll,pitch,yaw,roll_des,pitch_des,yaw_des,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,vbat,ibat,lat,lon,alt,motor_1,motor_2,motor_3,motor_4,flight_mode
0.0,0.0909,-1.9888,266.7224,0.0002,0.0003,266.7224,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.02,0.0909,-1.9888,266.7224,0.0002,0.0003,266.7224,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.04,0.0909,-1.9888,266.7224,0.0002,0.0003,266.7224,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.06,0.0909,-1.9888,266.7224,0.0002,0.0003,266.7224,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.08,0.0909,-1.9888,266.7224,0.0002,0.0003,266.7224,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.1,0.0808,-1.9831,266.7719,0.0002,0.0003,266.7719,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.12,0.0808,-1.9831,266.7719,0.0002,0.0003,266.7719,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.14,0.0808,-1.9831,266.7719,0.0002,0.0003,266.7719,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.16,0.0808,-1.9831,266.7719,0.0002,0.0003,266.7719,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.18,0.0808,-1.9831,266.7719,0.0002,0.0003,266.7719,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.2,0.0726,-1.9962,266.7273,0.0002,0.0003,266.7273,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.22,0.0726,-1.9962,266.7273,0.0002,0.0003,266.7273,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.24,0.0726,-1.9962,266.7273,0.0002,0.0003,266.7273,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.26,0.0726,-1.9962,266.7273,0.0002,0.0003,266.7273,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.28,0.0726,-1.9962,266.7273,0.0002,0.0003,266.7273,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.3,0.0649,-1.9887,266.7693,0.0002,0.0003,266.7693,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.32,0.0649,-1.9887,266.7693,0.0002,0.0003,266.7693,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.34,0.0649,-1.9887,266.7693,0.0002,0.0003,266.7693,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.36,0.0649,-1.9887,266.7693,0.0002,0.0003,266.7693,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.38,0.0649,-1.9887,266.7693,0.0002,0.0003,266.7693,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.4,0.0628,-1.9823,266.7368,0.0002,0.0003,266.7368,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.42,0.0628,-1.9823,266.7368,0.0002,0.0003,266.7368,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.44,0.0628,-1.9823,266.7368,0.0002,0.0003,266.7368,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.46,0.0628,-1.9823,266.7368,0.0002,0.0003,266.7368,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.48,0.0628,-1.9823,266.7368,0.0002,0.0003,266.7368,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.5,0.0656,-1.9723,266.7662,0.0002,0.0003,266.7662,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.52,0.0656,-1.9723,266.7662,0.0002,0.0003,266.7662,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.54,0.0656,-1.9723,266.7662,0.0002,0.0003,266.7662,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.56,0.0656,-1.9723,266.7662,0.0002,0.0003,266.7662,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.58,0.0656,-1.9723,266.7662,0.0002,0.0003,266.7662,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.6,0.0532,-1.9658,266.7551,0.0002,0.0003,266.7551,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.62,0.0532,-1.9658,266.7551,0.0002,0.0003,266.7551,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.64,0.0532,-1.9658,266.7551,0.0002,0.0003,266.7551,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.66,0.0532,-1.9658,266.7551,0.0002,0.0003,266.7551,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.68,0.0532,-1.9658,266.7551,0.0002,0.0003,266.7551,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
