time_sec,roll,pitch,yaw,roll_des,pitch_des,yaw_des,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,vbat,ibat,lat,lon,alt,motor_1,motor_2,motor_3,motor_4,flight_mode
0.0,-0.1219,0.0028,82.5171,0.0,3.3677,82.5208,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.02,-0.1219,0.0028,82.5171,0.0,3.3677,82.5208,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.04,-0.1219,0.0028,82.5171,0.0,3.3677,82.5208,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.06,-0.1219,0.0028,82.5171,0.0,3.3677,82.5208,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.08,-0.1219,0.0028,82.5171,0.0,3.3677,82.5208,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.1,-0.1219,0.0028,82.5171,0.0,3.3677,82.5208,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.12,-0.1219,0.0028,82.5171,0.0,3.3677,82.5208,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.14,-0.1219,0.0028,82.5171,0.0,3.3677,82.5208,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.16,-0.1266,-0.0022,82.4745,0.0,3.3773,82.4784,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.18,-0.1266,-0.0022,82.4745,0.0,3.3773,82.4784,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.2,-0.1266,-0.0022,82.4745,0.0,3.3773,82.4784,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.22,-0.1266,-0.0022,82.4745,0.0,3.3773,82.4784,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.24,-0.1266,-0.0022,82.4745,0.0,3.3773,82.4784,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.26,-0.1291,0.0003,82.5039,0.0,3.3872,82.5079,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.28,-0.1291,0.0003,82.5039,0.0,3.3872,82.5079,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.3,-0.1291,0.0003,82.5039,0.0,3.3872,82.5079,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.32,-0.1291,0.0003,82.5039,0.0,3.3872,82.5079,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.34,-0.1291,0.0003,82.5039,0.0,3.3872,82.5079,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.36,-0.1351,-0.0001,82.4693,0.0,3.3967,82.4735,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.38,-0.1351,-0.0001,82.4693,0.0,3.3967,82.4735,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.4,-0.1351,-0.0001,82.4693,0.0,3.3967,82.4735,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.42,-0.1351,-0.0001,82.4693,0.0,3.3967,82.4735,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.44,-0.1351,-0.0001,82.4693,0.0,3.3967,82.4735,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.46,-0.1397,-0.0014,82.4677,0.0,3.384,82.4719,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.48,-0.1397,-0.0014,82.4677,0.0,3.384,82.4719,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.5,-0.1397,-0.0014,82.4677,0.0,3.384,82.4719,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.52,-0.1397,-0.0014,82.4677,0.0,3.384,82.4719,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.54,-0.1397,-0.0014,82.4677,0.0,3.384,82.4719,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.56,-0.1419,-0.004,82.4664,0.0,3.3657,82.4707,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.58,-0.1419,-0.004,82.4664,0.0,3.3657,82.4707,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.6,-0.1419,-0.004,82.4664,0.0,3.3657,82.4707,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.62,-0.1419,-0.004,82.4664,0.0,3.3657,82.4707,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.64,-0.1419,-0.004,82.4664,0.0,3.3657,82.4707,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.66,-0.143,-0.0075,82.4467,0.0,3.3757,82.4511,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.68,-0.143,-0.0075,82.4467,0.0,3.3757,82.4511,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.7,-0.143,-0.0075,82.4467,0.0,3.3757,82.4511,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.72,-0.143,-0.0075,82.4467,0.0,3.3757,82.4511,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.74,-0.143,-0.0075,82.4467,0.0,3.3757,82.4511,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.76,-0.146,-0.011,82.4706,0.0,3.3908,82.4751,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.78,-0.146,-0.011,82.4706,0.0,3.3908,82.4751,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.8,-0.146,-0.011,82.4706,0.0,3.3908,82.4751,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.82,-0.146,-0.011,82.4706,0.0,3.3908,82.4751,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.84,-0.146,-0.011,82.4706,0.0,3.3908,82.4751,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.86,-0.1492,-0.0114,82.4426,0.0,3.3844,82.4472,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.88,-0.1492,-0.0114,82.4426,0.0,3.3844,82.4472,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.9,-0.1492,-0.0114,82.4426,0.0,3.3844,82.4472,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.92,-0.1492,-0.0114,82.4426,0.0,3.3844,82.4472,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.94,-0.1492,-0.0114,82.4426,0.0,3.3844,82.4472,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.96,-0.1485,-0.0135,82.4702,0.0,3.3752,82.4747,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
0.98,-0.1485,-0.0135,82.4702,0.0,3.3752,82.4747,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.0,-0.1485,-0.0135,82.4702,0.0,3.3752,82.4747,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.02,-0.1485,-0.0135,82.4702,0.0,3.3752,82.4747,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.04,-0.1485,-0.0135,82.4702,0.0,3.3752,82.4747,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.06,-0.1483,-0.0141,82.4224,0.0,3.367,82.4269,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.08,-0.1483,-0.0141,82.4224,0.0,3.367,82.4269,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.1,-0.1483,-0.0141,82.4224,0.0,3.367,82.4269,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.12,-0.1483,-0.0141,82.4224,0.0,3.367,82.4269,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.14,-0.1483,-0.0141,82.4224,0.0,3.367,82.4269,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.16,-0.1458,-0.012,82.428,0.0,3.3802,82.4324,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.18,-0.1458,-0.012,82.428,0.0,3.3802,82.4324,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.2,-0.1458,-0.012,82.428,0.0,3.3802,82.4324,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.22,-0.1458,-0.012,82.428,0.0,3.3802,82.4324,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.24,-0.1458,-0.012,82.428,0.0,3.3802,82.4324,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
1.26,-0.1444,-0.012,82.3988,0.0,3.3932,82.4033,,,,,,,,,,,,0.0,0.0,0.0,0.0,0
